"geo_id";"state";"city"
1;"NY";"Orchard Park"
2;"CA";"Campbell"
3;"CA";"Redondo Beach"
4;"NY";"Uniondale"
5;"CA";"Sacramento"
6;"NY";"Fairport"
7;"NY";"Buffalo"
8;"NY";"Jackson Heights"
9;"NY";"Port Washington"
10;"NY";"Monroe"
11;"NY";"Monsey"
12;"NY";"Hempstead"
13;"TX";"Longview"
14;"TX";"Forney"
15;"NY";"Plattsburgh"
16;"NY";"New York"
17;"NY";"Scarsdale"
18;"NY";"Canandaigua"
19;"TX";"Sugar Land"
20;"TX";"Victoria"
21;"NY";"East Northport"
22;"NY";"Hollis"
23;"CA";"Atwater"
24;"NY";"Mahopac"
25;"NY";"Long Beach"
26;"NY";"Sunnyside"
27;"NY";"Ossining"
28;"CA";"Torrance"
29;"CA";"Oakland"
30;"CA";"Fullerton"
31;"CA";"Palos Verdes Peninsula"
32;"NY";"Baldwinsville"
33;"NY";"Liverpool"
34;"NY";"Maspeth"
35;"NY";"Astoria"
36;"NY";"Lancaster"
37;"CA";"Encino"
38;"NY";"Queensbury"
39;"NY";"Richmond Hill"
40;"TX";"Houston"
41;"NY";"Elmont"
42;"NY";"Bethpage"
43;"CA";"San Lorenzo"
44;"NY";"Merrick"
45;"NY";"East Elmhurst"
46;"CA";"Glendora"
47;"NY";"Utica"
48;"NY";"Bronx"
49;"NY";"Central Islip"
50;"NY";"Rockville Centre"
51;"CA";"San Carlos"
52;"TX";"San Angelo"
53;"NY";"Amityville"
54;"TX";"Desoto"
55;"NY";"Rome"
56;"TX";"Garland"
57;"TX";"Rowlett"
58;"CA";"Rocklin"
59;"CA";"South El Monte"
60;"NY";"North Tonawanda"
61;"NY";"Port Jefferson Station"
62;"TX";"Richardson"
63;"NY";"Baldwin"
64;"CA";"Coachella"
65;"NY";"Lindenhurst"
66;"NY";"Huntington Station"
67;"NY";"Oswego"
68;"CA";"Duarte"
69;"CA";"Upland"
70;"NY";"Franklin Square"
71;"CA";"San Diego"
72;"NY";"Farmingdale"
73;"NY";"Troy"
74;"NY";"Saratoga Springs"
75;"NY";"Bayside"
76;"CA";"Yuba City"
77;"NY";"Commack"
78;"NY";"Syosset"
79;"NY";"Woodhaven"
80;"NY";"Elmhurst"
81;"NY";"Floral Park"
82;"CA";"San Jose"
83;"CA";"Anaheim"
84;"NY";"West Hempstead"
85;"TX";"Euless"
86;"NY";"Pittsford"
87;"CA";"Fresno"
88;"NY";"Howard Beach"
89;"TX";"Corpus Christi"
90;"NY";"Newburgh"
91;"NY";"Lockport"
92;"NY";"Hamburg"
93;"NY";"Coram"
94;"NY";"Massapequa"
95;"NY";"Spring Valley"
96;"NY";"Saint Albans"
97;"NY";"Port Chester"
98;"NY";"Staten Island"
99;"NY";"Smithtown"
100;"NY";"Huntington"
101;"NY";"Plainview"
102;"TX";"Helotes"
103;"NY";"Bay Shore"
104;"NY";"West Islip"
105;"CA";"Banning"
106;"NY";"Woodside"
107;"NY";"South Ozone Park"
108;"CA";"Oxnard"
109;"CA";"Santa Clara"
110;"NY";"Webster"
111;"CA";"Apple Valley"
112;"NY";"Hicksville"
113;"CA";"Santa Cruz"
114;"NY";"Rego Park"
115;"TX";"Amarillo"
116;"NY";"New Windsor"
117;"NY";"Ballston Spa"
118;"NY";"Jamaica"
119;"NY";"Brooklyn"
120;"CA";"Ridgecrest"
121;"NY";"Selden"
122;"NY";"Albany"
123;"NY";"Whitestone"
124;"NY";"Oceanside"
125;"TX";"Mcallen"
126;"NY";"Patchogue"
127;"CA";"Lawndale"
128;"NY";"Brentwood"
129;"NY";"Holbrook"
130;"NY";"Deer Park"
131;"NY";"East Meadow"
132;"CA";"Canyon Country"
133;"CA";"San Pablo"
134;"NY";"Niagara Falls"
135;"TX";"El Paso"
136;"NY";"Massapequa Park"
137;"CA";"Pleasanton"
138;"NY";"Garden City"
139;"NY";"Bellmore"
140;"NY";"Kingston"
141;"NY";"Ozone Park"
142;"NY";"Hopewell Junction"
143;"NY";"Ronkonkoma"
144;"NY";"Poughkeepsie"
145;"NY";"Levittown"
146;"NY";"Centereach"
147;"CA";"Mountain View"
148;"NY";"Springfield Gardens"
149;"NY";"Middle Village"
150;"NY";"Schenectady"
151;"NY";"Forest Hills"
152;"NY";"Mount Vernon"
153;"NY";"Wantagh"
154;"CA";"Pomona"
155;"NY";"Valley Stream"
156;"NY";"Ithaca"
157;"NY";"Rosedale"
158;"NY";"Wappingers Falls"
159;"NY";"Flushing"
160;"CA";"Los Banos"
161;"NY";"Depew"
162;"NY";"Shirley"
163;"NY";"Carmel"
164;"TX";"Harlingen"
165;"NY";"New Rochelle"
166;"NY";"Yonkers"
167;"NY";"Amsterdam"
168;"CA";"Vista"
169;"NY";"Rochester"
170;"CA";"Bakersfield"
171;"NY";"Nanuet"
172;"NY";"Freeport"
173;"TX";"Lake Jackson"
174;"NY";"Corona"
175;"NY";"South Richmond Hill"
176;"TX";"Fort Worth"
177;"NY";"Glen Cove"
178;"NY";"New City"
179;"CA";"Santa Monica"
180;"CA";"Ontario"
181;"NY";"Auburn"
182;"CA";"Los Angeles"
183;"NY";"New Hyde Park"
184;"NY";"Fresh Meadows"
185;"NY";"Yorktown Heights"
186;"NY";"Clifton Park"
187;"NY";"Jamestown"
188;"NY";"West Babylon"
189;"NY";"Endicott"
190;"TX";"San Antonio"
191;"TX";"Copperas Cove"
192;"NY";"Oakland Gardens"
193;"NY";"Tonawanda"
194;"NY";"Far Rockaway"
195;"NY";"Westbury"
